file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
case_0036_20260629_094333_229_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000035_00,0.0,4.776875,wav,-46.45495554393305,-45.56559389287775,3.376912185165514,17.311928962946837
case_0096_20260629_104403_462_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000096_00,0.0,6.136875,wav,-47.31714741958469,-49.66899685064951,3.37215192489492,20.17407981338303
case_0017_20260629_094007_645_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000016_00,0.0,4.296875,wav,-46.021511627906975,-47.11447970072428,3.341198649561968,29.95808687304711
case_0070_20260629_103928_848_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000069_00,0.0,6.296875,wav,-45.31447482638889,-48.689596044606176,3.2851371943733345,18.169575189053244
case_0081_20260629_104056_615_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000080_00,0.0,5.336875,wav,-44.81259509597378,-46.28609250939411,3.2840037315075503,28.752698543916612
case_0063_20260629_103720_271_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000062_00,0.0,4.056875,wav,-48.90637026631774,-49.66305363696554,3.2840023875686506,19.184119212813798
case_0058_20260629_103639_456_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000057_00,0.0,3.736875,wav,-50.10730176303476,-54.88628624225485,3.281974830635838,23.158498116515997
case_0034_20260629_094313_493_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000033_00,0.0,4.936875,wav,-48.42850534539474,-46.57205413636707,3.1962769897493324,14.933437512085113
case_0033_20260629_094306_254_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000032_00,0.0,4.376875,wav,-46.02066388413242,-45.43045006728754,3.1666477682855683,27.780855495109776
case_0002_20260629_093744_269_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000001_00,0.0,5.496875,wav,-44.81006747159091,-47.74432575956304,3.153063076265469,28.325447068615738
case_0057_20260629_103630_720_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000056_00,0.0,5.656875,wav,-49.0339312334364,-52.33988488889208,3.1157441830469774,18.50877358167297
case_0016_20260629_094001_338_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000015_00,0.0,3.496875,wav,-51.62787388392857,-52.57970142364502,2.910078410597612,14.674254901257365
case_0055_20260629_103609_480_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000054_00,0.0,5.576875,wav,-45.32842601926523,-50.02605176439472,2.883308757673914,25.91525294757469
case_0022_20260629_094140_141_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000021_00,0.0,3.816875,wav,-48.392133303337694,-49.894720676967076,2.87664473070643,20.04773712879375
case_0046_20260629_094455_545_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000045_00,0.0,2.936875,wav,-48.60062911883504,-47.663630541633154,2.871807146849061,17.077588071481475
case_0037_20260629_094346_950_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000036_00,0.0,5.176875,wav,-43.24646703064672,-47.70109874644178,2.8672129654415848,20.310351492297606
case_0072_20260629_103948_587_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000071_00,0.0,4.216875,wav,-45.16625166617298,-49.28963582269077,2.86265325022257,22.86648804187795
case_0015_20260629_093954_282_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000014_00,0.0,3.976875,wav,-45.13264565012563,-45.19470062255859,2.861581089265975,22.200544218253405
